Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0414,"National Law University, Jodhpur",Rajasthan,Jodhpur,www.nlujodhpur.ac.in,State Public University,1999,Urban,"NH-65, Nagaur Road, Mandor, Jodhpur"
U-0415,"Nims University Rajasthan, Jaipur",Rajasthan,Jaipur,www.nimsuniversity.org,State Private University,2008,Rural,"Jaipur-Delhi Highway (NH-11C), Jaipur"
U-0416,"Pacific Academy Of Higher Education Research University, Udaipur",Rajasthan,Udaipur,www.pacific-university.ac.in,State Private University,2010,Rural,"PACIFIC HILLS, AIRPORT ROAD, PRATAP NAGAR EXTN., DEBARI, UDAIPUR, UDAIPUR"
U-0417,"Swami Keshwanand Rajasthan Agricultural University, Bikaner",Rajasthan,Bikaner,www.raubikaner.org,State Public University,1987,Urban,"Beechwal, Sriganganagar Road, Bikaner"
U-0418,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur",Rajasthan,Jodhpur,https://educationsector.rajasthan.gov.in/raujodhpur#,State Public University,2003,Urban,"Karwad, Nagaur Road, Jodhpur, Rajasthan, Jodhpur"
U-0419,"Rajasthan Technical University, Kota",Rajasthan,Kota,www.rtu.ac.in,State Public University,1981,Urban,"Rawat Bhata Road, Akelgarh, Kota, Kota"
U-0420,"Rajasthan University Of Health Sciences, Jaipur",Rajasthan,Jaipur,www.ruhsraj.org,State Public University,2005,Urban,"Sector-18, Kumbha Marg, Pratap Nagar, Sanganer,, Tonk Road,, Jaipur"
U-0421,"Rajasthan University Of Veterinary And Animal Sciences, Bikaner",Rajasthan,Bikaner,www.rajuvas.org,State Public University,2010,Urban,"Bijey Bhawan Palace Complex,, Near Deendayal Upadhyay Circle,, Bikaner"
U-0422,University Of Rajasthan,Rajasthan,Jaipur,www.uniraj.ac.in,State Public University,1947,Urban,"University of Rajasthan, Jawahar Lal Nehru Marg, Rajasthan University Campus, Talvandi, Jaipur, Rajasthan 302004"
U-0423,"Shri Jagdish Prasad Jhabarmal Tibrewala University, Jhunjhunu",Rajasthan,Jhunjhunu,www.jjtu.ac.in,State Private University,2009,Rural,"CHURU-JHUNJHUNU ROAD, CHUDELA, JHUNJHUNU"
U-0424,"Shridhar University, Pilani",Rajasthan,Jhunjhunu,www.shridharuniversity.ac.in,State Private University,2009,Rural,"Pilani - Chirawa Road, P.O. Box No. 13, Pilani"
U-1300,Jai Minesh Adivasi University,Rajasthan,Kota,https://www.jmau.ac.in/,State Private University,2022,-,"JAI MINESH ADHIVASI UNIVERSITY KOTA, 2RXG+C7P, Kota, Ranpur, Rajasthan 325003"
U-0426,"Sir Padampat Singhania University, Udaipur",Rajasthan,Udaipur,https://www.spsu.ac.in,State Private University,2007,Rural,"Bhatewar, Tehsil - Vallabhnagar, Udaipur"
